Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
1350000;1700;170;4;4;3;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.220.498;-466.808.683
1800000;0;196;4;3;2;3;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.109.539;-466.809.188
2660000;0;150;3;4;3;3;0;1;1;0;Brooklin/São Paulo;sale;apartment;-236.210.099;-466.956.445
800000;0;95;3;3;2;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.113.228;-466.894.447
1700000;1200;121;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.208.425;-466.845.247
1400000;2630;96;2;3;2;2;0;1;1;0;Brooklin/São Paulo;sale;apartment;-236.143.711;-466.893.436
3600000;0;238;4;4;3;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.096.077;-466.930.127
980000;1300;115;3;2;1;1;1;0;0;0;Brooklin/São Paulo;sale;apartment;-236.126.951;-466.786.961
1290000;2527;187;3;2;1;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.125.211;-466.793.587
2100000;0;148;3;4;3;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.025.998;-466.946.954
1900000;1100;134;3;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.208.425;-466.845.247
960000;1300;75;2;2;1;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.040.517;-466.948.844
2400000;2850;198;4;4;3;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.112.939;-466.801.293
1050000;0;119;3;2;1;2;1;0;0;0;Brooklin/São Paulo;sale;apartment;-236.237.686;-466.870.456
1950000;1500;172;3;4;3;3;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.620.077;-466.847.506
3600000;0;236;4;4;3;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.096.077;-466.930.127
530000;400;49;1;2;1;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.176.824;-466.949.631
530000;400;49;1;2;1;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.176.824;-466.949.631
1200000;1048;77;1;2;1;2;0;1;1;0;Brooklin/São Paulo;sale;apartment;-236.121.056;-466.811.751
